6,1,5,1,3,1,1,0,2196,114,6,37,6,15,1089484,1697095,128.4838031,35.26532041
6,0,0,1,4,0,3,0,2196,112,6,37,12,7,1093556,1699244,128.5288055,35.28431995
6,0,5,1,3,1,1,0,147,119,7,2,6,7,973523,1963719,127.1997607,37.67261172
12,0,4,1,3,0,2,0,10144,119,4,2,6,7,1167960,1717875,129.350536,35.44250361
8,0,6,1,3,2,0,0,7201,20,4,314,12,4,1154812,1688797,129.2002396,35.18255742
4,1,6,1,3,2,0,0,860,112,6,37,6,15,962035,1954598,127.0699678,37.58999868
12,0,6,1,3,0,2,0,7126,112,6,3,6,1,1143075,1678633,129.0696216,35.09268158
4,0,2,1,3,0,2,0,1333,21,6,37,6,9,921562,1773063,126.6302453,35.9511309
1,0,1,1,3,1,1,0,1142,119,6,2,6,7,963528,1919549,127.0886113,37.27414364
1,1,0,1,3,2,0,0,1102,20,6,37,6,4,956607,1921021,127.0104618,37.28711475
4,0,5,1,4,1,2,0,3132,119,6,2,12,7,1099598,1870245,128.6168078,36.82516981
8,0,0,2,3,0,1,0,15,114,0,37,6,7,1083463,2024249,128.4534082,38.21467798
3,1,1,1,3,2,0,0,1119,114,6,2,12,15,1005471,1909901,127.5616404,37.1878746
12,0,6,1,3,2,0,0,1109,20,4,314,7,4,941985,1924586,126.8452338,37.31845031
2,0,6,1,3,1,1,0,1368,118,6,3,7,7,1013739,1775276,127.6523852,35.97414343
1,0,5,2,5,2,1,0,85,119,0,31,7,7,1163623,1908859,129.3428382,37.16416612
5,0,4,1,3,0,2,0,156,110,7,15,6,7,1062696,2017861,128.2156407,38.15879685
1,1,1,2,4,2,0,0,341,118,2,30,12,15,1060789,1795019,128.175757,36.1503308
1,0,5,1,6,3,2,0,12160,110,7,37,6,7,947721,1645406,126.9284706,34.80187398
1,0,6,3,7,2,2,0,15176,119,1,2,12,7,966259,1870721,127.1216069,36.83410382
7,1,0,1,6,5,0,0,657,28,6,37,12,9,992967,1823707,127.4215551,36.41085065
2,1,4,1,9,3,1,4,193,112,6,37,6,7,969793,1938842,127.1584895,37.44826979
3,1,4,1,9,2,6,0,445,119,4,2,7,11,945653,1683353,126.9033843,35.14393536
8,1,0,2,7,2,3,0,243,119,7,37,6,7,1119504,1692504,128.8131075,35.22079797
8,1,6,1,7,0,6,0,15176,12,5,37,12,7,977923,1859874,127.2527241,36.73666602
1,0,1,1,7,4,2,0,186,110,7,37,12,8,1133540,1904299,129.0033268,37.12785987
9,0,1,1,6,4,1,0,1577,114,6,37,12,8,936942,1806203,126.798122,36.25100918
10,0,0,3,5,2,0,0,1577,119,7,37,12,7,927213,1810860,126.689407,36.29230596
9,0,0,1,6,3,2,0,459,118,6,3,6,7,947692,1683361,126.9257656,35.14411743
7,0,6,1,6,5,0,0,114,110,7,15,6,7,1085112,2008805,128.4703981,38.07534815
10,1,5,1,6,3,2,0,459,12,7,30,6,7,947383,1682780,126.9224095,35.13886256
5,0,6,1,6,5,0,0,284,2,6,37,12,4,1030890,1720633,127.8405187,35.48107648
2,1,4,3,8,2,3,0,16182,118,6,37,6,14,993444,1843289,127.4267114,36.58739204
5,1,2,1,7,5,1,0,3178,119,1,2,6,7,1113208,1740071,128.750556,35.65032831
5,1,0,1,9,3,5,0,314,110,7,37,6,7,1064769,1739830,128.2155049,35.652523
2,0,3,1,7,0,6,0,1340,118,6,37,6,7,960585,1755053,127.0638244,35.79111338
3,0,2,2,7,1,4,0,177,119,7,37,12,7,991020,2018496,127.3974889,38.16665369
1,1,4,3,8,4,1,0,85,119,5,310,12,7,1149446,1937500,129.1889996,37.42460034
1,1,6,2,6,4,0,0,554,119,4,2,6,8,1087747,1744593,128.4698345,35.69368673
10,1,1,2,6,3,1,0,146,21,0,3,6,9,1041490,1924389,127.9682583,37.31755962
10,0,4,1,9,2,5,1,1153,118,6,37,1,15,961037,1967614,127.057969,37.70727239
2,0,2,4,10,6,0,0,2150,25,2,31,7,9,1072170,1702127,128.2939074,35.31208495
2,0,5,4,100,6,23,67,15,114,6,37,7,8,1086497,2023462,128.4879665,38.20729506
4,1,3,1,15,10,4,0,2199,28,6,2,7,9,1044769,1726466,127.9938327,35.53314018
1,0,0,3,12,6,3,0,3185,119,5,37,12,15,1083773,1776455,128.4292628,35.98126589
6,1,6,2,10,6,2,0,1267,28,6,37,7,9,909077,1661594,126.5042812,34.945115
1,1,1,1,16,6,9,0,11121,21,0,37,7,9,926684,1935688,126.6714549,37.41743479
10,1,4,10,19,8,1,0,10144,22,6,37,7,9,1147813,1731792,129.1311829,35.57113587
9,0,0,1,18,2,15,0,559,21,0,37,7,9,1107417,1765789,128.6900469,35.88280656
4,0,5,1,17,0,1,15,1142,12,5,37,1,7,964889,1925722,127.1036661,37.32983517
12,1,6,6,31,13,12,0,334,12,6,37,6,7,1084945,1807249,128.4455826,36.25876086
11,0,0,1,14,4,9,0,5100,110,6,37,6,7,1102215,1764248,128.6322278,35.86947256
5,0,5,1,3,0,2,0,13140,12,6,37,12,12,963337,1767853,127.0936864,35.90662678
12,0,5,1,3,2,0,0,314,110,7,37,6,15,1065407,1746814,128.2231204,35.71544657
3,1,6,1,4,2,1,0,3108,24,6,3,6,9,1127342,1830127,128.9211691,36.46029068
5,1,0,1,4,2,1,0,2172,119,0,37,6,15,1053483,1701883,128.0883361,35.31105978
